,Country,Center,Type,Region,Lat,Long,Location_des
202,Liberia,Diogenes De Jesus Puentes Betancourt,TBC,Grand Cape Mount,6.967510000000001,-11.31279,"Diogenes De Jesus Puentes Betancourt, Grand Cape Mount"
203,Liberia,Eduardo Saliba,Clinic,Grand Cape Mount,6.967510000000001,-11.31279,"Eduardo Saliba, Grand Cape Mount"
204,Liberia,Flavio Mistretta Raghi De Almeida,TBC,Grand Cape Mount,6.967510000000001,-11.31279,"Flavio Mistretta Raghi De Almeida, Grand Cape Mount"
205,Liberia,Joao Carlos Dantas Amaral Campos,TBC,Grand Cape Mount,6.967510000000001,-11.31279,"Joao Carlos Dantas Amaral Campos, Grand Cape Mount"
206,Liberia,Jose Moacir Angeli,TBC,Grand Cape Mount,6.967510000000001,-11.31279,"Jose Moacir Angeli, Grand Cape Mount"
207,Liberia,Jose Rubens MacRuz Perreira Da Silva,TBC,Grand Cape Mount,6.967510000000001,-11.31279,"Jose Rubens MacRuz Perreira Da Silva, Grand Cape Mount"
208,Liberia,Luis Poggi Filho,TBC,Grand Cape Mount,6.967510000000001,-11.31279,"Luis Poggi Filho, Grand Cape Mount"
209,Liberia,Paula Vidotto,Clinic,Grand Cape Mount,6.967510000000001,-11.31279,"Paula Vidotto, Grand Cape Mount"
210,Liberia,Ricardo Paludeto Bellaz,,Grand Cape Mount,6.967510000000001,-11.31279,"Ricardo Paludeto Bellaz, Grand Cape Mount"
211,Liberia,Roberto De Toledo Pasquali,,Grand Cape Mount,6.967510000000001,-11.31279,"Roberto De Toledo Pasquali, Grand Cape Mount"
212,Liberia,Vania Egle Montebello,TBC,Grand Cape Mount,6.967510000000001,-11.31279,"Vania Egle Montebello, Grand Cape Mount"
213,Liberia,Zaway,Clinic,Grand Cape Mount,6.8949,-11.38885,"Zaway, Grand Cape Mount"
214,Liberia,Gondama Clinic,Clinic,Grand Cape Mount,7.0587,-11.35587,"Gondama Clinic, Grand Cape Mount"
215,Liberia,Jene-Wonde,Clinic,Grand Cape Mount,7.07625,-11.269160000000001,"Jene-Wonde, Grand Cape Mount"
216,Liberia,Mambo  Clinic,Public Clinic,Grand Cape Mount,6.997571323,-11.29633295,"Mambo  Clinic, Grand Cape Mount"
217,Liberia,Tiene  Clinic,Public Clinic,Grand Cape Mount,6.967668753,-11.31156528,"Tiene  Clinic, Grand Cape Mount"
218,Liberia,Toe Town Clinic,Clinic,Grand Gedeh,6.405039599999999,-8.556906281,"Toe Town Clinic, Grand Gedeh"
219,Liberia,Bargblor Town Clinic,Clinic,Grand Gedeh,6.17891,-8.30204,"Bargblor Town Clinic, Grand Gedeh"
220,Liberia,Beh Town,Clinic,Grand Gedeh,6.178194365,-8.031979413,"Beh Town, Grand Gedeh"
221,Liberia,Janzon Clinic,Clinic,Grand Gedeh,6.2234487089999995,-8.048166037,"Janzon Clinic, Grand Gedeh"
222,Liberia,Zai,Clinic,Grand Gedeh,6.19343,-8.29393,"Zai, Grand Gedeh"
223,Liberia,Zleh Town,Health Center,Grand Gedeh,6.22689,-8.44005,"Zleh Town, Grand Gedeh"
